"product_name","opinion_id","sentiment","opinion"
"A Court of Thorns and Roses","1","Positive","The book is wonderful, just like all of Sarah J. Maas's work. The plot is based on the Beauty and the Beast fairy tale. The book grabs your heart and holds it until the end."
"A Court of Thorns and Roses","2","Positive","Nothing has drawn me in as much as this series. 10/10."
"A Court of Thorns and Roses","3","Neutral","I'll say this - the beginning of the book, about 300 pages, is a failure. Terribly much whining from Frey. Overall the story is cool, but it could be shortened by half."
"A Court of Thorns and Roses","4","Negative","Boundless boredom. A cheap harlequin in a mediocre fantasy setting with muscular faux-elves."
"A Court of Thorns and Roses","5","Positive","You read the book in one breath - the author builds the whole story fantastically."
"A Court of Thorns and Roses","6","Neutral","The Beauty and the Beast thread expanded with magic and fighting. However, it is more of a romance reading than a combat one."
"A Court of Thorns and Roses","7","Negative","I am very sorry, but this is trash in a fantasy disguise. Harlequin of the worst sort."
"A Court of Thorns and Roses","8","Negative","I have mixed feelings. I felt like I had read something similar before."
"A Court of Thorns and Roses","9","Positive","The author introduces the reader very well into a new world full of magic and brutality."
"A Court of Thorns and Roses","10","Positive","The plot develops quite lazily at first, but later the book picks up the pace."
"A Court of Thorns and Roses","11","Positive","Great start to a wonderful series, in the next volumes the action really kicks off."
"A Court of Thorns and Roses","12","Positive","After reading the Throne of Glass series, I reached for another series by this author. It hooked me even more!"
"A Court of Thorns and Roses","13","Positive","Sensational fantasy book with a touch of sensation and romance."
"A Court of Thorns and Roses","14","Positive","Beautiful, engaging story. Fantasy and romance. Light, I read it in 2 days."
"A Court of Thorns and Roses","15","Negative","Terribly banal and the language written is for not very bright teenagers."
"A Court of Thorns and Roses","16","Positive","If you are a fan of fantasy with a romantic note, I highly recommend it."
"A Court of Thorns and Roses","17","Positive","I love it. This story drew me in very much. Recommend!!!"
"A Court of Thorns and Roses","18","Positive","Incredibly engaging. I love Sarah Maas's pen."
"A Court of Thorns and Roses","19","Positive","I love the world and characters created by Maas."
"A Court of Thorns and Roses","20","Positive","Great book, reads very quickly."
"A Court of Thorns and Roses","21","Negative","I bought the ebook instead of the book."
"A Court of Thorns and Roses","22","Positive","Hooks you from the first pages."
"A Court of Thorns and Roses","23","Positive","I couldn't tear myself away!!!"
"A Court of Thorns and Roses","24","Positive","Fantastic book!"
"A Court of Thorns and Roses","25","Positive","Wonderful book."
"A Court of Thorns and Roses","26","Positive","Addictive!"
"A Court of Thorns and Roses","27","Positive","Cool, cool."
"A Court of Thorns and Roses","28","Positive","Super."
"A Court of Thorns and Roses","29","Positive","Cool."
"A Court of Thorns and Roses","30","Negative","Sarah J. Maas is a terrible bore, for 70% of the book literally nothing happens. The main character is a blindly wandering Mother Teresa."
"A Court of Thorns and Roses","31","Positive","This is an extraordinary book that transports us to a world of magic, wrapping us in its charm."
"A Court of Thorns and Roses","32","Neutral","If not for the slow development of events at the beginning, it would be 4 stars, because the ending made up for everything."
"A Court of Thorns and Roses","33","Positive","How everything falls into place at the end suddenly makes more sense."
"A Court of Thorns and Roses","34","Positive","I read the first 115 pages in paper and listened to the rest as an audiobook, which I highly recommend."
"A Court of Thorns and Roses","35","Positive","A Court of Thorns and Roses is a magical book perfect for the autumn season."
"A Court of Thorns and Roses","36","Positive","I didn't plan to write a broader opinion, but surprisingly this book pleasantly surprised me."
"A Court of Thorns and Roses","37","Positive","The book holds the tension wonderfully."
"A Court of Thorns and Roses","38","Positive","I devoured the book in two days. The Beauty and the Beast motif is strongly visible."
"A Court of Thorns and Roses","39","Positive","Interesting and captivating start to the series, there is magic, there is romance, there is violence."
"A Court of Thorns and Roses","40","Positive","I love it for the writing style, characters, and plot."
"A Court of Thorns and Roses","41","Positive","The book introduces the whole series, but nevertheless, it is great."
"A Court of Thorns and Roses","42","Positive","A very good introduction to one of the most wonderful stories I have read."
"A Court of Thorns and Roses","43","Positive","A great story that you can't tear yourself away from. Maybe a bit naive, but still engaging."
"A Court of Thorns and Roses","44","Positive","The whole series is mandatory for lovers of romance-fantasy!"
"A Court of Thorns and Roses","45","Positive","This part was really okay, but it pales in comparison to the next ones."
"A Court of Thorns and Roses","46","Positive","I love the whole series. The only books I stayed up all night for."
"A Court of Thorns and Roses","47","Positive","I really liked the first volume. Hopefully, the second keeps the level."
"A Court of Thorns and Roses","48","Positive","The best I've read in a long time. Highly recommend."
"A Court of Thorns and Roses","49","Positive","Very chill, although I still think Throne of Glass is better."
"A Court of Thorns and Roses","50","Positive","I read this book and I am delighted with it."
"A Court of Thorns and Roses","51","Positive","The novel has a cool, fairy-tale atmosphere."
"A Court of Thorns and Roses","52","Positive","One of my favorite series."
"A Court of Thorns and Roses","53","Positive","Very good book, recommend."
"A Court of Thorns and Roses","54","Positive","I love books that are retellings of Beauty and the Beast."
"A Court of Thorns and Roses","55","Positive","Great, I couldn't tear myself away! It was my first approach to fantasy."
"A Court of Thorns and Roses","56","Neutral","The book is quite interesting, although the Throne of Glass series by this author appealed to me more."
"A Court of Thorns and Roses","57","Positive","Brilliant from the very beginning."
"A Court of Thorns and Roses","58","Negative","The narrator in the audiobook has such a pained tone that it spoils the reception."
"A Court of Thorns and Roses","59","Neutral","Cliché romance, quite pleasant."
"A Court of Thorns and Roses","60","Positive","Highly recommend for fans of the fantasy-romance genre."
"A Court of Thorns and Roses","61","Neutral","Good book, but the beginning was so boring I almost gave up."
"A Court of Thorns and Roses","62","Negative","I am not a fan of fantasy, for me it was simply boring."
"A Court of Thorns and Roses","63","Positive","From the first pages I read like I was hypnotized."
"A Court of Thorns and Roses","64","Positive","Great !!! Engaging, full of surprises."
"A Court of Thorns and Roses","65","Positive","For me, this book is simply WOW."
"A Court of Thorns and Roses","66","Positive","The first few chapters bored me enough that I had to put the book down."
"A Court of Thorns and Roses","67","Positive","No series has sucked me in this much in a long time."
"A Court of Thorns and Roses","68","Positive","Hard to understand what real hunger is... Feyre is a perfect example of this."
"A Court of Thorns and Roses","69","Positive","I don't rate the book badly. It hooked me - but only somewhere from the middle."
"A Court of Thorns and Roses","70","Neutral","I had a problem with the first half of the book, where the action dragged on a lot."
"A Court of Thorns and Roses","71","Positive","Sarah J. Maas never disappoints. After Throne of Glass I thought she couldn't write anything better, but yet!"
"A Court of Thorns and Roses","72","Positive","A bit of a long intro, but once Feyra got to Prythian, I was lost."
"A Court of Thorns and Roses","73","Positive","I love Tamlin, but I heard that in the second volume everything changes... I'm afraid to read on!"
"A Court of Thorns and Roses","74","Neutral","Too sugary for me. More romance than real fantasy."
"A Court of Thorns and Roses","75","Positive","Must read for every romantasy fan. The scenes are hot and the world is magical."
"A Court of Thorns and Roses","76","Negative","I don't understand the phenomenon of this book. Feyra is annoying and constantly makes stupid decisions."
"A Court of Thorns and Roses","77","Positive","Beauty and the Beast adult version. What more could you want?"
"A Court of Thorns and Roses","78","Positive","I give 4 stars only because the beginning was terribly slow. The ending is a pure rollercoaster!"
"A Court of Thorns and Roses","79","Positive","Rhysand <3 Waiting for more of him in the next volumes."
"A Court of Thorns and Roses","80","Positive","Amazing world-building. The descriptions of the Courts are beautiful."
"A Court of Thorns and Roses","81","Negative","Wasted potential. Flat characters and predictable plot."
"A Court of Thorns and Roses","82","Positive","Recommend to anyone who likes to escape reality."
"A Court of Thorns and Roses","83","Positive","Good entertainment for the evening. Reads lightly."
"A Court of Thorns and Roses","84","Neutral","My girlfriend made me read it. It's okay, but nothing crazy."
"A Court of Thorns and Roses","85","Positive","OH MY GOD. That ending!!! I need the second volume yesterday."
"A Court of Thorns and Roses","86","Positive","One of the best books of this year."
"A Court of Thorns and Roses","87","Negative","Unfortunately, the author's style doesn't appeal to me. Too many repetitions."
"A Court of Thorns and Roses","88","Positive","I love Lucien! Hope there will be more of him."
"A Court of Thorns and Roses","89","Positive","Cool, but Throne of Glass was better."
"A Court of Thorns and Roses","90","Positive","A book that broke my heart and glued it back together."
"A Court of Thorns and Roses","91","Neutral","A bit like Twilight, only with fairies."
