product_name,opinion_id,sntiment,opinion,score,date
Clair Obscur: Expedition 33 (PS5 Version),1,positive,There is good replay value thanks to optional content. I had a great time throughout.,4,2024-11-20
Clair Obscur: Expedition 33 (PS5 Version),2,positive,The attention to detail in the environments is remarkable. A wonderful example of quality in this genre.,5,2025-09-06
Clair Obscur: Expedition 33 (PS5 Version),3,positive,"Boss encounters feel challenging yet fair. Overall, a very enjoyable experience.",4,2025-07-18
Clair Obscur: Expedition 33 (PS5 Version),4,positive,The graphics look excellent on the PS5. It surpassed my expectations.,4,2025-01-31
Clair Obscur: Expedition 33 (PS5 Version),5,positive,"Combat feels smooth and responsive throughout. Overall, a very enjoyable experience.",4,2024-06-22
Clair Obscur: Expedition 33 (PS5 Version),6,positive,The level design is thoughtful and creative. I would gladly play it again.,5,2025-02-17
Clair Obscur: Expedition 33 (PS5 Version),7,positive,The level design is thoughtful and creative. It surpassed my expectations.,4,2024-08-12
Clair Obscur: Expedition 33 (PS5 Version),8,positive,Controls are intuitive and easy to get used to. A wonderful example of quality in this genre.,5,2025-04-05
Clair Obscur: Expedition 33 (PS5 Version),9,positive,"I found the characters memorable and well written. Overall, a very enjoyable experience.",4,2024-05-19
Clair Obscur: Expedition 33 (PS5 Version),10,positive,The attention to detail in the environments is remarkable. A wonderful example of quality in this genre.,5,2024-04-20
Clair Obscur: Expedition 33 (PS5 Version),11,positive,I genuinely enjoyed the game from start to finish. A wonderful example of quality in this genre.,5,2025-01-04
Clair Obscur: Expedition 33 (PS5 Version),12,positive,"This quickly became one of my favorite PS5 releases. Overall, a very enjoyable experience.",5,2024-04-16
Clair Obscur: Expedition 33 (PS5 Version),13,positive,The game feels polished and carefully crafted. I would gladly play it again.,4,2024-01-12
Clair Obscur: Expedition 33 (PS5 Version),14,positive,The game performs well with almost no technical issues. A wonderful example of quality in this genre.,4,2024-12-03
Clair Obscur: Expedition 33 (PS5 Version),15,positive,There is good replay value thanks to optional content. A wonderful example of quality in this genre.,5,2024-05-27
Clair Obscur: Expedition 33 (PS5 Version),16,positive,The sound design and music are very impressive. Definitely worth checking out if you enjoy adventure games.,5,2025-08-07
Clair Obscur: Expedition 33 (PS5 Version),17,positive,I would confidently recommend this to others. A wonderful example of quality in this genre.,4,2024-08-11
Clair Obscur: Expedition 33 (PS5 Version),18,positive,I genuinely enjoyed the game from start to finish. I had a great time throughout.,5,2025-03-03
Clair Obscur: Expedition 33 (PS5 Version),19,positive,Boss encounters feel challenging yet fair. Definitely worth checking out if you enjoy adventure games.,5,2024-06-10
Clair Obscur: Expedition 33 (PS5 Version),20,positive,Controls are intuitive and easy to get used to. Definitely worth checking out if you enjoy adventure games.,5,2024-08-12
Clair Obscur: Expedition 33 (PS5 Version),21,positive,The sound design and music are very impressive. Definitely worth checking out if you enjoy adventure games.,4,2025-06-19
