product_name;opinion_id;sentiment;opinion;score;date
JBL Flip 6 Speaker;1;positive;I love it!;5;December 29, 2024
Razer BlackWidow V4;2;negative;Poor quality.;1;April 18, 2025
Sony WH-1000XM5 Headphones;3;negative;Would not recommend.;1;June 24, 2025
Oculus Quest 3;4;negative;Bad value.;1;February 25, 2025
Dyson V15 Vacuum;5;positive;Superb experience.;4;September 28, 2025
Samsung Galaxy S23;6;positive;Superb experience.;4;December 06, 2024
Dell XPS 13 Laptop;7;negative;Not satisfied.;2;May 11, 2025
Oculus Quest 3;8;positive;I love it!;5;December 04, 2024
Dyson V15 Vacuum;9;positive;Would buy again.;4;July 18, 2025
Instant Pot Duo;10;negative;Terrible experience.;2;November 29, 2024
Asus ROG Strix Laptop;11;negative;Not satisfied.;2;February 09, 2025
Asus ROG Strix Laptop;12;positive;Would buy again.;5;June 14, 2025
Samsung Galaxy S23;13;negative;Would not recommend.;2;October 02, 2025
Bose SoundLink Flex;14;positive;Fantastic value.;5;December 30, 2024
Logitech MX Master 3S Mouse;15;positive;Highly recommend.;4;August 18, 2025
Google Pixel 8;16;positive;Excellent product.;4;June 08, 2025
Apple iPhone 15;17;negative;Not worth the price.;1;June 18, 2025
Sony WH-1000XM5 Headphones;18;positive;Very satisfied.;4;May 05, 2025
KitchenAid Stand Mixer;19;negative;Would not recommend.;1;December 31, 2024
Logitech MX Master 3S Mouse;20;negative;Not worth the price.;1;July 14, 2025
JBL Flip 6 Speaker;21;positive;Very satisfied.;5;September 16, 2025
Dell XPS 13 Laptop;22;positive;Very satisfied.;4;July 19, 2025
KitchenAid Stand Mixer;23;positive;Works perfectly.;5;June 29, 2025
Google Pixel 8;24;positive;Works perfectly.;5;January 08, 2025
KitchenAid Stand Mixer;25;negative;Not satisfied.;2;September 03, 2025
Razer BlackWidow V4;26;negative;Would not recommend.;2;October 08, 2025
JBL Flip 6 Speaker;27;negative;Not worth the price.;1;July 16, 2025
Fitbit Charge 6;28;positive;Exceeded expectations.;5;December 04, 2024
Oculus Quest 3;29;positive;Superb experience.;4;June 16, 2025
Asus ROG Strix Laptop;30;positive;Superb experience.;5;May 30, 2025
Sony WH-1000XM5 Headphones;31;negative;I regret buying this.;2;May 17, 2025
Logitech MX Master 3S Mouse;32;positive;Fantastic value.;4;June 24, 2025
Canon EOS R6 Camera;33;positive;Highly recommend.;4;April 24, 2025
Microsoft Surface Pro 9;34;positive;Would buy again.;4;July 30, 2025
Fitbit Charge 6;35;negative;Did not meet expectations.;1;January 10, 2025
HP Envy 15;36;positive;Would buy again.;5;July 03, 2025
JBL Flip 6 Speaker;37;positive;Excellent product.;5;November 26, 2025
Fitbit Charge 6;38;negative;Terrible experience.;1;September 24, 2025
Sony WH-1000XM5 Headphones;39;negative;Not satisfied.;2;January 13, 2025
Sony WH-1000XM5 Headphones;40;positive;Very satisfied.;5;November 28, 2024
JBL Flip 6 Speaker;41;positive;Would buy again.;5;September 13, 2025
Bose SoundLink Flex;42;positive;Very satisfied.;4;July 29, 2025
Apple iPhone 15;43;positive;Very satisfied.;4;October 16, 2025
HP Envy 15;44;positive;Exceeded expectations.;5;November 10, 2025
HP Envy 15;45;negative;Not worth the price.;1;November 06, 2025
Oculus Quest 3;46;negative;Stopped working.;2;May 01, 2025
Fitbit Charge 6;47;negative;Not worth the price.;2;September 01, 2025
Dyson V15 Vacuum;48;negative;Poor quality.;1;December 28, 2024
Nintendo Switch OLED;49;negative;Very disappointing.;1;June 10, 2025
Fitbit Charge 6;50;positive;Would buy again.;4;October 05, 2025
Samsung Galaxy S23;51;negative;Not worth the price.;2;July 04, 2025
Fitbit Charge 6;52;negative;Poor quality.;2;September 17, 2025
Apple iPhone 15;53;negative;Stopped working.;1;March 31, 2025
HP Envy 15;54;negative;Would not recommend.;1;July 24, 2025
Canon EOS R6 Camera;55;negative;I regret buying this.;2;April 27, 2025
Dyson V15 Vacuum;56;negative;Not satisfied.;2;December 03, 2024
Instant Pot Duo;57;positive;Excellent product.;4;February 10, 2025
Sony WH-1000XM5 Headphones;58;negative;I regret buying this.;1;June 27, 2025
Microsoft Surface Pro 9;59;positive;I love it!;5;February 16, 2025
JBL Flip 6 Speaker;60;positive;Highly recommend.;5;January 09, 2025
Microsoft Surface Pro 9;61;negative;Not satisfied.;2;September 05, 2025
Dell XPS 13 Laptop;62;positive;Excellent product.;5;November 24, 2025
Sony WH-1000XM5 Headphones;63;negative;Did not meet expectations.;1;March 16, 2025
Nintendo Switch OLED;64;negative;Very disappointing.;1;January 22, 2025
Samsung Galaxy S23;65;positive;Fantastic value.;5;May 09, 2025
Sony WH-1000XM5 Headphones;66;positive;Superb experience.;4;December 23, 2024
Razer BlackWidow V4;67;negative;Stopped working.;1;May 07, 2025
Canon EOS R6 Camera;68;positive;Would buy again.;4;February 02, 2025
Oculus Quest 3;69;positive;I love it!;4;April 05, 2025
JBL Flip 6 Speaker;70;positive;Works perfectly.;5;March 13, 2025
Asus ROG Strix Laptop;71;negative;Bad value.;2;August 07, 2025
Google Pixel 8;72;negative;Poor quality.;2;October 01, 2025
Razer BlackWidow V4;73;positive;Excellent product.;4;March 31, 2025
Dyson V15 Vacuum;74;positive;Excellent product.;4;December 23, 2024
Instant Pot Duo;75;negative;Stopped working.;2;June 21, 2025
Google Pixel 8;76;positive;Exceeded expectations.;4;February 18, 2025
Sony WH-1000XM5 Headphones;77;negative;Stopped working.;1;May 03, 2025
KitchenAid Stand Mixer;78;positive;Would buy again.;5;March 18, 2025
Dyson V15 Vacuum;79;positive;Great quality!;4;August 11, 2025
Microsoft Surface Pro 9;80;positive;Highly recommend.;5;June 15, 2025
Kindle Paperwhite;81;negative;Would not recommend.;1;August 24, 2025
Bose SoundLink Flex;82;negative;Would not recommend.;2;September 22, 2025
Kindle Paperwhite;83;positive;Would buy again.;4;March 03, 2025
Asus ROG Strix Laptop;84;positive;Very satisfied.;5;December 28, 2024
Dyson V15 Vacuum;85;positive;Works perfectly.;5;April 10, 2025
Instant Pot Duo;86;negative;Would not recommend.;1;May 28, 2025
Razer BlackWidow V4;87;negative;Did not meet expectations.;2;November 21, 2025
Bose SoundLink Flex;88;negative;Bad value.;2;April 05, 2025
Dyson V15 Vacuum;89;negative;Poor quality.;1;February 27, 2025
Dell XPS 13 Laptop;90;positive;Fantastic value.;4;September 23, 2025
