product_name;opinion_id;sentiment;opinion;score;date
Racing Thunder 3;op001;positive;Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.;4;
Mystic Realms Online;op002;positive;Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.;4;
CyberStrike Arena;op003;positive;Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.;4;
Farm Life Simulator;op004;positive;Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.;4;
Galaxy Quest IV;op005;positive;Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.;4;
Racing Thunder 3;op006;positive;Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.;4;
Mystic Realms Online;op007;positive;Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.;4;
CyberStrike Arena;op008;positive;Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.;4;
Farm Life Simulator;op009;positive;Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.;4;
Galaxy Quest IV;op010;positive;Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.;4;
Racing Thunder 3;op011;positive;Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.;4;
Mystic Realms Online;op012;positive;Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.;4;
CyberStrike Arena;op013;positive;Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.;4;
Farm Life Simulator;op014;positive;Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.;4;
Galaxy Quest IV;op015;positive;Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.;4;
Racing Thunder 3;op016;positive;Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.;4;
Mystic Realms Online;op017;positive;Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.;4;
CyberStrike Arena;op018;positive;Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.;4;
Farm Life Simulator;op019;positive;Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.;4;
Galaxy Quest IV;op020;positive;Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.;4;
Racing Thunder 3;op021;positive;Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.;4;
