product_name,opinion_id,sentiment,opinion,score,date
iPhone,1,positive,Battery lasts all day with heavy use. Build quality is solid and durable.,4.6,2022-05-14
iPhone,2,positive,Build quality is solid and durable. Screen resolution is crisp and vibrant.,4.5,2025-01-05
iPhone,3,positive,The camera quality is amazing! The camera quality is amazing!,4.9,2022-02-05
iPhone,4,positive,iOS is smooth and responsive. Screen resolution is crisp and vibrant.,4.4,2024-05-26
iPhone,5,positive,Battery lasts all day with heavy use. Excellent support and warranty.,4.4,2022-09-13
iPhone,6,positive,Battery lasts all day with heavy use. The camera quality is amazing!,4.3,2024-10-12
iPhone,7,positive,Love the fast charging feature. Excellent support and warranty.,4.9,2023-10-07
iPhone,8,positive,iOS is smooth and responsive. Love the fast charging feature.,4.6,2022-08-01
iPhone,9,positive,Screen resolution is crisp and vibrant. App store has everything I need.,4.3,2023-04-13
iPhone,10,positive,iOS is smooth and responsive. Sleek design and feels premium.,4.3,2022-10-15
iPhone,11,positive,The camera quality is amazing! App store has everything I need.,4.9,2024-04-04
iPhone,12,positive,App store has everything I need. App store has everything I need.,4.2,2023-09-20
iPhone,13,positive,Screen resolution is crisp and vibrant. Face ID works flawlessly.,4.1,2023-01-11
iPhone,14,positive,iOS is smooth and responsive. Build quality is solid and durable.,4.8,2025-08-19
iPhone,15,positive,iOS is smooth and responsive. Face ID works flawlessly.,4.8,2022-12-27
iPhone,16,positive,Love the fast charging feature. Face ID works flawlessly.,4.3,2022-10-11
iPhone,17,positive,Excellent support and warranty. Sleek design and feels premium.,4.3,2023-07-04
iPhone,18,positive,Build quality is solid and durable. Screen resolution is crisp and vibrant.,4.1,2022-11-05
iPhone,19,positive,Excellent support and warranty. App store has everything I need.,4.6,2024-05-17
iPhone,20,positive,The camera quality is amazing! Love the fast charging feature.,4.2,2022-03-15
iPhone,21,positive,Screen resolution is crisp and vibrant. The camera quality is amazing!,4.1,2022-06-13
iPhone,22,positive,App store has everything I need. Love the fast charging feature.,4.4,2024-09-28
iPhone,23,positive,Build quality is solid and durable. Sleek design and feels premium.,4.3,2024-03-08
iPhone,24,positive,Battery lasts all day with heavy use. Build quality is solid and durable.,4.1,2025-02-09
iPhone,25,positive,Build quality is solid and durable. Excellent support and warranty.,4.1,2024-04-22
iPhone,26,positive,Sleek design and feels premium. Battery lasts all day with heavy use.,5.0,2025-04-25
iPhone,27,positive,Build quality is solid and durable. The camera quality is amazing!,4.2,2025-03-23
iPhone,28,positive,The camera quality is amazing! Love the fast charging feature.,4.1,2022-01-08
iPhone,29,positive,Excellent support and warranty. iOS is smooth and responsive.,5.0,2023-08-26
iPhone,30,positive,Screen resolution is crisp and vibrant. Sleek design and feels premium.,4.4,2024-02-29
iPhone,31,positive,Screen resolution is crisp and vibrant. Build quality is solid and durable.,4.3,2025-11-01
iPhone,32,positive,Excellent support and warranty. Screen resolution is crisp and vibrant.,4.7,2024-01-14
iPhone,33,positive,Excellent support and warranty. Build quality is solid and durable.,4.7,2022-12-06
iPhone,34,positive,Sleek design and feels premium. The camera quality is amazing!,4.6,2025-03-29
iPhone,35,positive,Sleek design and feels premium. Sleek design and feels premium.,4.5,2022-12-08
iPhone,36,positive,Build quality is solid and durable. Build quality is solid and durable.,4.7,2024-08-01
iPhone,37,positive,Battery lasts all day with heavy use. Excellent support and warranty.,4.8,2023-02-03
iPhone,38,positive,iOS is smooth and responsive. Build quality is solid and durable.,4.1,2023-12-05
iPhone,39,positive,App store has everything I need. App store has everything I need.,4.6,2025-10-09
iPhone,40,positive,iOS is smooth and responsive. Love the fast charging feature.,4.9,2022-04-25
iPhone,41,positive,iOS is smooth and responsive. Sleek design and feels premium.,4.3,2025-03-09
iPhone,42,positive,The camera quality is amazing! Love the fast charging feature.,4.2,2022-04-08
iPhone,43,positive,Build quality is solid and durable. Battery lasts all day with heavy use.,5.0,2025-02-08
iPhone,44,positive,Battery lasts all day with heavy use. Build quality is solid and durable.,4.8,2022-06-30
iPhone,45,positive,The camera quality is amazing! iOS is smooth and responsive.,4.6,2022-06-09
iPhone,46,positive,Face ID works flawlessly. Battery lasts all day with heavy use.,4.4,2022-12-29
iPhone,47,positive,iOS is smooth and responsive. Screen resolution is crisp and vibrant.,4.1,2024-09-21
iPhone,48,positive,Face ID works flawlessly. Love the fast charging feature.,4.0,2024-04-06
iPhone,49,positive,Face ID works flawlessly. Screen resolution is crisp and vibrant.,4.5,2022-05-08
iPhone,50,positive,The camera quality is amazing! The camera quality is amazing!,4.3,2024-08-02
iPhone,51,positive,Battery lasts all day with heavy use. Face ID works flawlessly.,4.9,2025-05-04
iPhone,52,positive,Build quality is solid and durable. The camera quality is amazing!,4.5,2024-10-18
iPhone,53,positive,App store has everything I need. Excellent support and warranty.,4.3,2025-11-10
iPhone,54,positive,Screen resolution is crisp and vibrant. Screen resolution is crisp and vibrant.,4.4,2022-05-16
iPhone,55,positive,App store has everything I need. Excellent support and warranty.,4.5,2023-08-21
iPhone,56,positive,Face ID works flawlessly. iOS is smooth and responsive.,4.3,2025-10-25
iPhone,57,positive,Face ID works flawlessly. Sleek design and feels premium.,4.2,2025-08-30
iPhone,58,positive,Build quality is solid and durable. Face ID works flawlessly.,4.9,2023-06-03
iPhone,59,positive,Face ID works flawlessly. App store has everything I need.,4.8,2024-12-24
iPhone,60,positive,Build quality is solid and durable. App store has everything I need.,4.8,2022-07-26
iPhone,61,positive,Build quality is solid and durable. App store has everything I need.,4.3,2025-01-31
iPhone,62,positive,Build quality is solid and durable. App store has everything I need.,4.8,2023-03-16
iPhone,63,positive,App store has everything I need. Screen resolution is crisp and vibrant.,5.0,2025-01-24
iPhone,64,positive,Build quality is solid and durable. Face ID works flawlessly.,4.2,2023-11-22
iPhone,65,positive,iOS is smooth and responsive. Sleek design and feels premium.,4.9,2023-07-03
iPhone,66,positive,iOS is smooth and responsive. iOS is smooth and responsive.,4.9,2022-10-03
iPhone,67,positive,Sleek design and feels premium. Sleek design and feels premium.,4.3,2023-03-30
iPhone,68,positive,Battery lasts all day with heavy use. The camera quality is amazing!,4.3,2022-07-10
iPhone,69,positive,Sleek design and feels premium. Love the fast charging feature.,4.1,2025-09-05
iPhone,70,positive,Excellent support and warranty. iOS is smooth and responsive.,4.3,2024-01-11
iPhone,71,positive,App store has everything I need. App store has everything I need.,4.6,2024-09-11
iPhone,72,positive,iOS is smooth and responsive. Battery lasts all day with heavy use.,4.4,2024-06-09
iPhone,73,positive,Screen resolution is crisp and vibrant. Excellent support and warranty.,4.7,2022-02-01
iPhone,74,positive,Screen resolution is crisp and vibrant. Build quality is solid and durable.,4.6,2025-06-10
iPhone,75,positive,Build quality is solid and durable. iOS is smooth and responsive.,4.6,2022-06-19
iPhone,76,positive,App store has everything I need. Face ID works flawlessly.,4.7,2022-06-28
iPhone,77,positive,Build quality is solid and durable. Build quality is solid and durable.,4.5,2023-02-18
iPhone,78,positive,Screen resolution is crisp and vibrant. App store has everything I need.,4.2,2023-12-01
iPhone,79,positive,iOS is smooth and responsive. Screen resolution is crisp and vibrant.,4.5,2023-09-02
iPhone,80,positive,Excellent support and warranty. iOS is smooth and responsive.,4.9,2025-10-12
iPhone,81,positive,App store has everything I need. Build quality is solid and durable.,4.4,2025-07-06
iPhone,82,positive,Sleek design and feels premium. Battery lasts all day with heavy use.,4.9,2023-10-02
iPhone,83,positive,Screen resolution is crisp and vibrant. Sleek design and feels premium.,4.3,2022-05-30
iPhone,84,positive,The camera quality is amazing! The camera quality is amazing!,4.7,2025-10-11
iPhone,85,positive,iOS is smooth and responsive. The camera quality is amazing!,4.6,2023-10-02
iPhone,86,positive,Screen resolution is crisp and vibrant. Face ID works flawlessly.,4.7,2022-05-16
iPhone,87,positive,Love the fast charging feature. Battery lasts all day with heavy use.,4.5,2025-01-19
iPhone,88,positive,Build quality is solid and durable. Excellent support and warranty.,4.0,2025-09-29
iPhone,89,positive,Build quality is solid and durable. Excellent support and warranty.,4.7,2023-12-30
iPhone,90,positive,Battery lasts all day with heavy use. Sleek design and feels premium.,4.1,2025-09-27
iPhone,91,positive,Battery lasts all day with heavy use. Face ID works flawlessly.,4.4,2025-09-17
iPhone,92,positive,Excellent support and warranty. App store has everything I need.,4.6,2023-04-27
iPhone,93,positive,App store has everything I need. Screen resolution is crisp and vibrant.,4.3,2024-04-29
iPhone,94,positive,Face ID works flawlessly. Build quality is solid and durable.,4.4,2025-02-07
iPhone,95,positive,The camera quality is amazing! The camera quality is amazing!,4.3,2025-07-21
iPhone,96,positive,The camera quality is amazing! Excellent support and warranty.,4.5,2025-08-10
iPhone,97,positive,Face ID works flawlessly. Sleek design and feels premium.,4.1,2024-09-15
iPhone,98,positive,iOS is smooth and responsive. The camera quality is amazing!,4.7,2023-02-11
iPhone,99,positive,Face ID works flawlessly. The camera quality is amazing!,5.0,2023-09-04
iPhone,100,positive,Face ID works flawlessly. Sleek design and feels premium.,4.5,2025-06-29
iPhone,101,negative,Limited customization options. iOS updates slow down the phone.,1.4,2023-02-25
iPhone,102,negative,Some apps crash occasionally. Storage fills up too fast.,2.8,2023-01-11
iPhone,103,negative,Storage fills up too fast. Limited customization options.,1.3,2025-08-26
iPhone,104,negative,Screen scratches easily. Pricey accessories.,2.0,2023-09-23
iPhone,105,negative,Overheats sometimes. Pricey accessories.,2.2,2024-05-04
iPhone,106,negative,No headphone jack is annoying. Overheats sometimes.,1.9,2025-02-25
iPhone,107,negative,Overheats sometimes. iOS updates slow down the phone.,0.9,2023-10-22
iPhone,108,negative,No headphone jack is annoying. No headphone jack is annoying.,2.5,2025-11-04
iPhone,109,negative,Limited customization options. Battery drains too quickly.,0.3,2022-08-12
iPhone,110,negative,Overheats sometimes. Too expensive for what it offers.,2.8,2025-03-10
iPhone,111,negative,Screen scratches easily. Some apps crash occasionally.,2.6,2022-09-04
iPhone,112,negative,Screen scratches easily. No headphone jack is annoying.,0.0,2024-12-17
iPhone,113,negative,Screen scratches easily. Battery drains too quickly.,2.7,2024-08-15
iPhone,114,negative,Overheats sometimes. No headphone jack is annoying.,1.0,2022-03-07
iPhone,115,negative,Some apps crash occasionally. iOS updates slow down the phone.,2.8,2023-05-25
iPhone,116,negative,Battery drains too quickly. Screen scratches easily.,0.7,2022-06-13
iPhone,117,negative,Screen scratches easily. Too expensive for what it offers.,2.8,2023-06-19
iPhone,118,negative,Pricey accessories. Pricey accessories.,2.2,2023-06-09
iPhone,119,negative,Pricey accessories. Too expensive for what it offers.,2.2,2024-06-30
iPhone,120,negative,Screen scratches easily. Battery drains too quickly.,0.7,2025-03-21
iPhone,121,negative,Battery drains too quickly. Storage fills up too fast.,0.7,2024-09-22
iPhone,122,negative,Pricey accessories. Some apps crash occasionally.,0.0,2022-05-01
iPhone,123,negative,Overheats sometimes. Overheats sometimes.,0.3,2024-07-21
iPhone,124,negative,Overheats sometimes. Battery drains too quickly.,2.8,2022-01-16
iPhone,125,negative,Some apps crash occasionally. Screen scratches easily.,1.8,2025-08-31
iPhone,126,negative,Overheats sometimes. Too expensive for what it offers.,1.8,2024-03-17
iPhone,127,negative,No headphone jack is annoying. Screen scratches easily.,0.9,2023-12-29
iPhone,128,negative,No headphone jack is annoying. Screen scratches easily.,1.7,2025-08-30
iPhone,129,negative,Pricey accessories. iOS updates slow down the phone.,0.5,2024-05-23
iPhone,130,negative,Screen scratches easily. Some apps crash occasionally.,2.8,2023-01-07
iPhone,131,negative,Overheats sometimes. Overheats sometimes.,0.2,2025-01-27
iPhone,132,negative,Some apps crash occasionally. Some apps crash occasionally.,2.5,2025-02-09
iPhone,133,negative,Screen scratches easily. Limited customization options.,2.6,2025-01-23
iPhone,134,negative,No headphone jack is annoying. Limited customization options.,0.5,2025-03-15
iPhone,135,negative,Some apps crash occasionally. No headphone jack is annoying.,1.4,2025-09-06
iPhone,136,negative,Screen scratches easily. Limited customization options.,2.4,2022-07-04
iPhone,137,negative,No headphone jack is annoying. iOS updates slow down the phone.,0.8,2023-05-12
iPhone,138,negative,Storage fills up too fast. iOS updates slow down the phone.,1.3,2022-11-11
iPhone,139,negative,Screen scratches easily. iOS updates slow down the phone.,0.5,2024-03-11
iPhone,140,negative,Overheats sometimes. Overheats sometimes.,2.6,2025-07-05
iPhone,141,negative,Battery drains too quickly. iOS updates slow down the phone.,1.5,2024-08-12
iPhone,142,negative,Battery drains too quickly. Screen scratches easily.,1.1,2023-06-09
iPhone,143,negative,Screen scratches easily. Too expensive for what it offers.,1.2,2025-06-14
iPhone,144,negative,Too expensive for what it offers. Limited customization options.,1.0,2024-06-23
iPhone,145,negative,Limited customization options. Limited customization options.,0.8,2024-01-12
iPhone,146,negative,Storage fills up too fast. Pricey accessories.,1.1,2023-07-17
iPhone,147,negative,Storage fills up too fast. iOS updates slow down the phone.,1.9,2023-04-13
iPhone,148,negative,Battery drains too quickly. Too expensive for what it offers.,0.6,2024-09-06
iPhone,149,negative,iOS updates slow down the phone. Storage fills up too fast.,0.8,2024-03-19
iPhone,150,negative,Too expensive for what it offers. Too expensive for what it offers.,1.7,2022-07-24
iPhone,151,negative,Storage fills up too fast. No headphone jack is annoying.,0.3,2022-05-13
iPhone,152,negative,Battery drains too quickly. iOS updates slow down the phone.,2.4,2024-02-19
iPhone,153,negative,Overheats sometimes. Limited customization options.,1.0,2022-09-01
iPhone,154,negative,Too expensive for what it offers. Screen scratches easily.,1.9,2025-01-02
iPhone,155,negative,Overheats sometimes. No headphone jack is annoying.,2.7,2025-05-18
iPhone,156,negative,Screen scratches easily. No headphone jack is annoying.,2.4,2024-07-02
iPhone,157,negative,iOS updates slow down the phone. Storage fills up too fast.,0.8,2022-08-09
iPhone,158,negative,No headphone jack is annoying. Screen scratches easily.,2.0,2022-01-09
iPhone,159,negative,iOS updates slow down the phone. Pricey accessories.,0.8,2023-05-17
iPhone,160,negative,iOS updates slow down the phone. Too expensive for what it offers.,1.1,2025-08-14
iPhone,161,negative,Too expensive for what it offers. Screen scratches easily.,2.2,2022-09-03
iPhone,162,negative,Screen scratches easily. Some apps crash occasionally.,1.5,2025-06-16
iPhone,163,negative,Some apps crash occasionally. Limited customization options.,1.2,2023-06-02
iPhone,164,negative,Storage fills up too fast. Screen scratches easily.,1.4,2023-10-15
iPhone,165,negative,Pricey accessories. iOS updates slow down the phone.,0.3,2022-04-16
iPhone,166,negative,Storage fills up too fast. Limited customization options.,1.4,2025-05-18
iPhone,167,negative,No headphone jack is annoying. iOS updates slow down the phone.,1.4,2022-11-11
iPhone,168,negative,Some apps crash occasionally. Pricey accessories.,2.0,2022-07-26
iPhone,169,negative,Too expensive for what it offers. Pricey accessories.,2.3,2022-09-27
iPhone,170,negative,Pricey accessories. Screen scratches easily.,2.7,2025-11-15
iPhone,171,negative,Screen scratches easily. Battery drains too quickly.,0.9,2025-02-08
iPhone,172,negative,Overheats sometimes. Pricey accessories.,2.6,2022-01-24
iPhone,173,negative,Screen scratches easily. Battery drains too quickly.,0.1,2025-05-17
iPhone,174,negative,Battery drains too quickly. Too expensive for what it offers.,0.9,2023-02-17
iPhone,175,negative,Overheats sometimes. No headphone jack is annoying.,1.5,2023-04-02
iPhone,176,negative,Screen scratches easily. Screen scratches easily.,1.7,2024-02-09
