Product Name,Opinion ID,Sentiment,Opinion,Score
Polish-Lithuanian Commonwealth,1,positive,"It pioneered a unique form of noble democracy in Europe.",5
Polish-Lithuanian Commonwealth,2,positive,"The Commonwealth fostered significant religious tolerance for its era.",5
Polish-Lithuanian Commonwealth,3,positive,"It was one of the largest political entities of 16th-century Europe.",5
Polish-Lithuanian Commonwealth,4,positive,"The Commonwealth promoted intellectual exchange across its territories.",4
Polish-Lithuanian Commonwealth,5,positive,"Its parliamentary system inspired later democratic ideas.",5
Polish-Lithuanian Commonwealth,6,positive,"Polish and Lithuanian elites cooperated successfully for centuries.",4
Polish-Lithuanian Commonwealth,7,positive,"It served as a cultural bridge between Western and Eastern Europe.",5
Polish-Lithuanian Commonwealth,8,positive,"The Commonwealth allowed relatively free movement of goods and people.",4
Polish-Lithuanian Commonwealth,9,positive,"It produced a thriving literary and philosophical tradition.",4
Polish-Lithuanian Commonwealth,10,positive,"The political union created a long period of relative peace internally.",4
Polish-Lithuanian Commonwealth,11,positive,"Many cities in the Commonwealth became vibrant trade centers.",4
Polish-Lithuanian Commonwealth,12,positive,"It nurtured the growth of universities like Kraków and Vilnius.",5
Polish-Lithuanian Commonwealth,13,positive,"There was a high degree of legal protection for nobles.",4
Polish-Lithuanian Commonwealth,14,positive,"The Commonwealth acted as a strong buffer against external powers for centuries.",5
Polish-Lithuanian Commonwealth,15,positive,"Its noble class enjoyed unprecedented political participation.",4
Polish-Lithuanian Commonwealth,16,positive,"Some minority groups experienced legal protections uncommon in Europe at the time.",4
Polish-Lithuanian Commonwealth,17,positive,"It developed distinctive art, architecture, and cultural styles.",4
Polish-Lithuanian Commonwealth,18,positive,"The Commonwealth participated in major European diplomacy.",4
Polish-Lithuanian Commonwealth,19,positive,"The state’s constitution limited absolute monarchy.",5
Polish-Lithuanian Commonwealth,20,positive,"Its postal system facilitated communication between regions.",4
Polish-Lithuanian Commonwealth,21,positive,"It nurtured a unique and diverse noble culture.",4
Polish-Lithuanian Commonwealth,22,positive,"The Lithuanian and Polish partnership proved long-lasting and resilient.",5
Polish-Lithuanian Commonwealth,23,positive,"Its armies were often formidable and innovative.",5
Polish-Lithuanian Commonwealth,24,positive,"The Commonwealth repelled multiple invasions across centuries.",5
Polish-Lithuanian Commonwealth,25,positive,"It stood as a counterbalance to the rise of Muscovy and later Russia.",4
Polish-Lithuanian Commonwealth,26,positive,"The Commonwealth’s cavalry, especially winged hussars, became legendary.",5
Polish-Lithuanian Commonwealth,27,positive,"It fostered trade routes across the Baltic and Black Sea regions.",4
Polish-Lithuanian Commonwealth,28,positive,"The legal tradition of the Commonwealth influenced later European law.",4
Polish-Lithuanian Commonwealth,29,positive,"People enjoyed a relatively open intellectual climate compared with neighbors.",4
Polish-Lithuanian Commonwealth,30,positive,"It produced influential statesmen and thinkers.",4
Polish-Lithuanian Commonwealth,31,positive,"The state successfully integrated various ethnic groups for centuries.",4
Polish-Lithuanian Commonwealth,32,positive,"Its urban centers enjoyed cultural diversity and autonomy.",4
Polish-Lithuanian Commonwealth,33,positive,"The Commonwealth’s architecture blended multiple cultural influences.",4
Polish-Lithuanian Commonwealth,34,positive,"Catholic, Orthodox, Protestant, and Jewish communities coexisted.",4
Polish-Lithuanian Commonwealth,35,positive,"Its legal protections for Jews were notable for the time.",5
Polish-Lithuanian Commonwealth,36,positive,"The Commonwealth contributed greatly to European scholarship.",4
Polish-Lithuanian Commonwealth,37,positive,"Its literary culture left a strong legacy.",4
Polish-Lithuanian Commonwealth,38,positive,"The szlachta played a key role in shaping civic institutions.",4
Polish-Lithuanian Commonwealth,39,positive,"It maintained its identity despite being surrounded by major empires.",4
Polish-Lithuanian Commonwealth,40,positive,"The Commonwealth helped spread Renaissance ideas in the region.",4
Polish-Lithuanian Commonwealth,41,positive,"It produced major works of religious-philosophical thought.",4
Polish-Lithuanian Commonwealth,42,positive,"Its cities attracted settlers from across Europe.",4
Polish-Lithuanian Commonwealth,43,positive,"It created a sense of shared civic identity among nobles.",4
Polish-Lithuanian Commonwealth,44,positive,"The Commonwealth nurtured a vibrant musical tradition.",4
Polish-Lithuanian Commonwealth,45,positive,"It produced significant contributions to cartography and geography.",4
Polish-Lithuanian Commonwealth,46,positive,"Its legal system emphasized contractual monarchy.",4
Polish-Lithuanian Commonwealth,47,positive,"The Commonwealth fostered inter-regional trade growth.",4
Polish-Lithuanian Commonwealth,48,positive,"Its court culture was elaborate and refined.",4
Polish-Lithuanian Commonwealth,49,positive,"It stood as a bastion of noble freedoms.",5
Polish-Lithuanian Commonwealth,50,positive,"The Union of Lublin marked a historic step in political cooperation.",5
Polish-Lithuanian Commonwealth,51,positive,"The Commonwealth’s political memory influences Poland and Lithuania today.",5
Polish-Lithuanian Commonwealth,52,positive,"It cultivated a strong tradition of diplomatic negotiation.",4
Polish-Lithuanian Commonwealth,53,positive,"The state welcomed foreign scholars and artisans.",4
Polish-Lithuanian Commonwealth,54,positive,"It preserved continuity across diverse linguistic communities.",4
Polish-Lithuanian Commonwealth,55,positive,"Its role in European politics was significant for centuries.",4
Polish-Lithuanian Commonwealth,56,positive,"The Commonwealth helped protect Central Europe from Ottoman expansion.",5
Polish-Lithuanian Commonwealth,57,positive,"The state integrated previously distinct territories under one polity.",4
Polish-Lithuanian Commonwealth,58,positive,"Its religious policies allowed for coexistence rather than enforced uniformity.",4
Polish-Lithuanian Commonwealth,59,positive,"It was home to a flourishing Jewish intellectual culture.",5
Polish-Lithuanian Commonwealth,60,positive,"Many national identities today trace roots to the Commonwealth.",4
Polish-Lithuanian Commonwealth,61,positive,"It produced vibrant folk traditions preserved into modern times.",4
Polish-Lithuanian Commonwealth,62,positive,"The Commonwealth maintained lively intellectual salons and circles.",4
Polish-Lithuanian Commonwealth,63,positive,"Its political structure limited autocracy and elevated civic debate.",5
Polish-Lithuanian Commonwealth,64,positive,"It contributed to the rich heritage of Central-Eastern European cuisine.",4
Polish-Lithuanian Commonwealth,65,positive,"The Commonwealth played a role in scientific development.",4
Polish-Lithuanian Commonwealth,66,positive,"Its nobles frequently patronized the arts.",4
Polish-Lithuanian Commonwealth,67,positive,"It produced a strong tradition of military innovation.",5
Polish-Lithuanian Commonwealth,68,positive,"The winged hussars became a symbol of national pride.",5
Polish-Lithuanian Commonwealth,69,positive,"The Commonwealth’s legal reforms helped shape later democratic institutions.",4
Polish-Lithuanian Commonwealth,70,positive,"It facilitated cross-cultural exchange between Slavic, Baltic, and Jewish communities.",4
Polish-Lithuanian Commonwealth,71,positive,"The state promoted linguistic diversity rather than suppressing it.",4
Polish-Lithuanian Commonwealth,72,positive,"Its political memory influenced early American political thinkers.",4
Polish-Lithuanian Commonwealth,73,positive,"It was admired by some Enlightenment philosophers.",4
Polish-Lithuanian Commonwealth,74,positive,"People enjoyed significant personal freedoms for the time period.",5
Polish-Lithuanian Commonwealth,75,positive,"The Commonwealth benefited from continental trade networks.",4
Polish-Lithuanian Commonwealth,76,positive,"Its cities thrived as cultural hubs.",4
Polish-Lithuanian Commonwealth,77,positive,"Its noble republic represented a unique experiment in governance.",5
Polish-Lithuanian Commonwealth,78,positive,"The Commonwealth nurtured a rich chivalric tradition.",4
Polish-Lithuanian Commonwealth,79,positive,"It developed important agricultural exports, like grain.",4
Polish-Lithuanian Commonwealth,80,positive,"The region produced exceptional craftsmanship.",4
Polish-Lithuanian Commonwealth,81,positive,"Its courts contributed to serious discourse on law and justice.",4
Polish-Lithuanian Commonwealth,82,positive,"The Commonwealth fostered religious debate and open theological discussion.",4
Polish-Lithuanian Commonwealth,83,positive,"Humanistic studies flourished within its borders.",4
Polish-Lithuanian Commonwealth,84,positive,"Many poets and writers celebrated its political ideals.",4
Polish-Lithuanian Commonwealth,85,positive,"It enabled the growth of early proto-constitutionalism.",5
Polish-Lithuanian Commonwealth,86,positive,"Its decentralized governance allowed local autonomy.",4
Polish-Lithuanian Commonwealth,87,positive,"The Commonwealth cultivated loyalty through shared noble identity.",4
Polish-Lithuanian Commonwealth,88,positive,"Its artisans produced globally admired goods.",4
Polish-Lithuanian Commonwealth,89,positive,"The academic world of the Commonwealth was highly respected.",4
Polish-Lithuanian Commonwealth,90,positive,"It helped sustain a pluralistic society in pre-modern Europe.",4
Polish-Lithuanian Commonwealth,91,positive,"Its armies secured numerous tactical victories.",5
Polish-Lithuanian Commonwealth,92,positive,"The Commonwealth's existence slowed the territorial expansion of rival empires.",4
Polish-Lithuanian Commonwealth,93,positive,"Its partnership created enduring historical ties between Poland and Lithuania.",5
Polish-Lithuanian Commonwealth,94,positive,"Its legacy remains celebrated in modern historical discourse.",5
Polish-Lithuanian Commonwealth,95,positive,"The Commonwealth contributed to Europe’s cultural and intellectual richness.",4
Polish-Lithuanian Commonwealth,96,positive,"It represented a noteworthy example of trans-national cooperation.",4
Polish-Lithuanian Commonwealth,97,positive,"Its historical memory remains a source of regional pride.",5
Polish-Lithuanian Commonwealth,98,positive,"Its ideals continue to influence modern discussions of liberty and governance.",4
Polish-Lithuanian Commonwealth,99,positive,"It offers valuable lessons in federal political systems.",4
Polish-Lithuanian Commonwealth,100,positive,"Its legacy continues to inspire historians and political theorists.",5
Polish-Lithuanian Commonwealth,101,negative,"The political power of the nobility severely weakened central authority.",1
Polish-Lithuanian Commonwealth,102,negative,"The liberum veto often paralyzed legislative decision-making.",1
Polish-Lithuanian Commonwealth,103,negative,"The Commonwealth suffered from chronic political gridlock.",2
Polish-Lithuanian Commonwealth,104,negative,"Its government was slow and inefficient.",2
Polish-Lithuanian Commonwealth,105,negative,"Power was excessively concentrated among elites, excluding common people.",2
Polish-Lithuanian Commonwealth,106,negative,"Peasants had limited rights and lived under serfdom.",1
Polish-Lithuanian Commonwealth,107,negative,"The state lacked a professional standing army.",1
Polish-Lithuanian Commonwealth,108,negative,"It became vulnerable to foreign manipulation.",1
Polish-Lithuanian Commonwealth,109,negative,"Internal divisions weakened its long-term stability.",2
Polish-Lithuanian Commonwealth,110,negative,"Regional magnates gained too much influence.",2
Polish-Lithuanian Commonwealth,111,negative,"Elective monarchy enabled outside bribery in succession.",1
Polish-Lithuanian Commonwealth,112,negative,"Corruption became widespread among political elites.",1
Polish-Lithuanian Commonwealth,113,negative,"The Commonwealth struggled to modernize in time.",2
Polish-Lithuanian Commonwealth,114,negative,"Its decentralized governance allowed local abuses of power.",2
Polish-Lithuanian Commonwealth,115,negative,"Ethnic and religious groups sometimes faced discrimination despite tolerance ideals.",2
Polish-Lithuanian Commonwealth,116,negative,"The state failed to adequately tax its population.",1
Polish-Lithuanian Commonwealth,117,negative,"Economic reforms were slow and incomplete.",2
Polish-Lithuanian Commonwealth,118,negative,"Military resources were often insufficient in wartime.",1
Polish-Lithuanian Commonwealth,119,negative,"It suffered devastating invasions such as the Swedish Deluge.",1
Polish-Lithuanian Commonwealth,120,negative,"The Commonwealth lost land due to weak diplomacy.",1
Polish-Lithuanian Commonwealth,121,negative,"Rising neighbors exploited its vulnerabilities.",1
Polish-Lithuanian Commonwealth,122,negative,"The noble democracy neglected commoners entirely.",2
Polish-Lithuanian Commonwealth,123,negative,"Peasant uprisings indicated deep class tensions.",2
Polish-Lithuanian Commonwealth,124,negative,"The state lacked strong infrastructure development.",2
Polish-Lithuanian Commonwealth,125,negative,"Its educational system did not keep pace with modern innovations.",2
Polish-Lithuanian Commonwealth,126,negative,"The government failed to prevent internal corruption.",1
Polish-Lithuanian Commonwealth,127,negative,"Regional autonomy sometimes undermined national cohesion.",2
Polish-Lithuanian Commonwealth,128,negative,"Trade policies were uneven and inconsistent.",2
Polish-Lithuanian Commonwealth,129,negative,"Religious harmony occasionally broke down into conflict.",2
Polish-Lithuanian Commonwealth,130,negative,"Foreign mercenaries were often needed in battle.",2
Polish-Lithuanian Commonwealth,131,negative,"The Commonwealth failed to industrialize early.",1
Polish-Lithuanian Commonwealth,132,negative,"Its armed forces suffered from logistical challenges.",2
Polish-Lithuanian Commonwealth,133,negative,"Fiscal irresponsibility plagued the treasury.",1
Polish-Lithuanian Commonwealth,134,negative,"Poor governance led to declining military readiness.",1
Polish-Lithuanian Commonwealth,135,negative,"Many nobles resisted necessary reforms.",2
Polish-Lithuanian Commonwealth,136,negative,"The Commonwealth became backward compared to Western Europe.",2
Polish-Lithuanian Commonwealth,137,negative,"Too many privileges were granted to the nobility.",1
Polish-Lithuanian Commonwealth,138,negative,"The state did not adequately support urban development.",2
Polish-Lithuanian Commonwealth,139,negative,"It failed to manage the rise of powerful neighbors like Russia and Prussia.",1
Polish-Lithuanian Commonwealth,140,negative,"The political system proved unsustainable over time.",1
Polish-Lithuanian Commonwealth,141,negative,"Its fall resulted in partition and loss of sovereignty.",1
Polish-Lithuanian Commonwealth,142,negative,"Noble infighting drained energy and resources.",2
Polish-Lithuanian Commonwealth,143,negative,"The Commonwealth failed to contain Cossack revolts.",2
Polish-Lithuanian Commonwealth,144,negative,"Some regions suffered under poor local governance.",2
Polish-Lithuanian Commonwealth,145,negative,"The borders became difficult to defend in later years.",1
Polish-Lithuanian Commonwealth,146,negative,"Its diplomatic influence declined sharply in the 18th century.",1
Polish-Lithuanian Commonwealth,147,negative,"The state became overly reliant on foreign alliances.",2
Polish-Lithuanian Commonwealth,148,negative,"Legal protections were unevenly applied.",2
Polish-Lithuanian Commonwealth,149,negative,"Rural poverty persisted throughout its existence.",2
Polish-Lithuanian Commonwealth,150,negative,"Some minorities faced social and economic disadvantages.",2
Polish-Lithuanian Commonwealth,151,negative,"It lacked an effective administrative bureaucracy.",1
Polish-Lithuanian Commonwealth,152,negative,"Monarchs had limited power to enact reforms.",1
Polish-Lithuanian Commonwealth,153,negative,"The nobles frequently obstructed national initiatives.",1
Polish-Lithuanian Commonwealth,154,negative,"Poor roads and infrastructure hindered trade.",2
Polish-Lithuanian Commonwealth,155,negative,"The Commonwealth was slow to adapt Enlightenment reforms.",2
Polish-Lithuanian Commonwealth,156,negative,"Many nobles preferred luxury over civic responsibility.",2
Polish-Lithuanian Commonwealth,157,negative,"Opportunistic foreign powers undermined its sovereignty.",1
Polish-Lithuanian Commonwealth,158,negative,"Unchecked noble privilege became a systemic weakness.",1
Polish-Lithuanian Commonwealth,159,negative,"Power disparities created instability.",2
Polish-Lithuanian Commonwealth,160,negative,"The society was deeply hierarchical.",2
Polish-Lithuanian Commonwealth,161,negative,"Military defeats weakened morale and standing.",1
Polish-Lithuanian Commonwealth,162,negative,"Taxation was inconsistent and poorly enforced.",1
Polish-Lithuanian Commonwealth,163,negative,"Rapid population expansion strained resources.",2
Polish-Lithuanian Commonwealth,164,negative,"The Commonwealth’s legal system was cumbersome.",2
Polish-Lithuanian Commonwealth,165,negative,"It failed to ensure equal rights for all subjects.",2
Polish-Lithuanian Commonwealth,166,negative,"Its alliances sometimes backfired.",2
Polish-Lithuanian Commonwealth,167,negative,"Political stagnation reduced state effectiveness.",2
Polish-Lithuanian Commonwealth,168,negative,"Pervasive localism prevented unified governance.",2
Polish-Lithuanian Commonwealth,169,negative,"It was vulnerable to internal conspiracies.",2
Polish-Lithuanian Commonwealth,170,negative,"The state lacked a strong naval presence.",2
Polish-Lithuanian Commonwealth,171,negative,"Economic inequality persisted for centuries.",2
Polish-Lithuanian Commonwealth,172,negative,"Religion, though tolerated, still caused tensions.",2
Polish-Lithuanian Commonwealth,173,negative,"The ruling class often prioritized private gain over public duty.",1
Polish-Lithuanian Commonwealth,174,negative,"Many peasants lived in harsh conditions.",2
Polish-Lithuanian Commonwealth,175,negative,"Its agricultural economy lagged behind modernization.",2
Polish-Lithuanian Commonwealth,176,negative,"Historical negligence led to eventual dissolution.",1
Polish-Lithuanian Commonwealth,177,negative,"Public education was limited in scope.",2
Polish-Lithuanian Commonwealth,178,negative,"Administrative fragmentation weakened policy implementation.",2
