opinion_id,product_name,sentiment,opinion,score,date
1,Minecraft,positive,Amazing game mechanics and storytelling. Worth every penny.,5,1/16/2025
2,DOOM Eternal,positive,The game exceeded my expectations in every way.,5,3/16/2025
3,Ori and the Will of the Wisps,positive,Absolutely loved this game! The gameplay and graphics are top-notch.,4,1/25/2025
4,Slay the Spire,positive,Amazing game mechanics and storytelling. Worth every penny.,5,11/14/2025
5,Resident Evil Village,positive,The game exceeded my expectations in every way.,4,3/20/2025
6,DOOM Eternal,positive,Brilliant design and very engaging gameplay.,5,9/29/2025
7,Fall Guys,positive,Fantastic visuals and smooth controls. Truly immersive.,4,8/25/2025
8,Ori and the Will of the Wisps,positive,Superb soundtrack and atmosphere.,5,1/13/2025
9,Terraria,positive,The game exceeded my expectations in every way.,5,9/6/2025
10,GTA V,positive,A must-play for fans of the genre.,5,9/12/2025
11,Dead by Daylight,positive,Amazing game mechanics and storytelling. Worth every penny.,4,1/19/2025
12,GTA V,positive,Highly enjoyable with great replay value.,4,3/20/2025
13,Rust,positive,Incredibly fun and addictive. Can't put it down!,5,1/8/2025
14,Dead by Daylight,positive,Absolutely loved this game! The gameplay and graphics are top-notch.,5,2/8/2025
15,Minecraft,positive,A must-play for fans of the genre.,4,2/13/2025
16,Terraria,positive,Fantastic visuals and smooth controls. Truly immersive.,5,1/5/2025
17,Subnautica,positive,Superb soundtrack and atmosphere.,4,5/27/2025
18,Terraria,positive,Superb soundtrack and atmosphere.,4,8/23/2025
19,Ori and the Will of the Wisps,positive,Superb soundtrack and atmosphere.,5,11/1/2025
20,Ori and the Will of the Wisps,positive,Absolutely loved this game! The gameplay and graphics are top-notch.,5,2/2/2025
21,Minecraft,positive,Incredibly fun and addictive. Can't put it down!,4,4/20/2025
22,DOOM Eternal,positive,Incredibly fun and addictive. Can't put it down!,5,4/7/2025
23,Dark Souls III,positive,A must-play for fans of the genre.,4,5/6/2025
24,Slay the Spire,positive,One of the best experiences I've had in gaming. Highly recommend!,5,11/11/2025
25,Among Us,positive,Superb soundtrack and atmosphere.,4,4/29/2025
26,Ori and the Will of the Wisps,positive,Absolutely loved this game! The gameplay and graphics are top-notch.,4,3/10/2025
27,Subnautica,positive,Absolutely loved this game! The gameplay and graphics are top-notch.,4,2/8/2025
28,Hades,positive,Absolutely loved this game! The gameplay and graphics are top-notch.,4,8/2/2025
29,GTA V,positive,A must-play for fans of the genre.,5,8/22/2025
30,Rust,positive,One of the best experiences I've had in gaming. Highly recommend!,4,2/5/2025
31,DOOM Eternal,positive,Brilliant design and very engaging gameplay.,4,3/17/2025
32,Valheim,positive,The game exceeded my expectations in every way.,4,4/4/2025
33,Subnautica,positive,Fantastic visuals and smooth controls. Truly immersive.,5,7/16/2025
34,Resident Evil Village,positive,Absolutely loved this game! The gameplay and graphics are top-notch.,4,9/18/2025
35,Ori and the Will of the Wisps,positive,Amazing game mechanics and storytelling. Worth every penny.,5,10/21/2025
36,DOOM Eternal,positive,One of the best experiences I've had in gaming. Highly recommend!,5,12/31/2024
37,Elden Ring,positive,Superb soundtrack and atmosphere.,5,10/30/2025
38,Fall Guys,positive,A must-play for fans of the genre.,5,9/3/2025
39,GTA V,positive,Incredibly fun and addictive. Can't put it down!,4,5/1/2025
40,Terraria,positive,Incredibly fun and addictive. Can't put it down!,4,6/1/2025
41,The Witcher 3,positive,Superb soundtrack and atmosphere.,5,5/5/2025
42,GTA V,positive,One of the best experiences I've had in gaming. Highly recommend!,5,6/29/2025
43,DOOM Eternal,positive,The game exceeded my expectations in every way.,4,10/9/2025
44,Valheim,positive,Fantastic visuals and smooth controls. Truly immersive.,4,5/17/2025
45,Among Us,positive,Superb soundtrack and atmosphere.,5,4/7/2025
46,Slay the Spire,positive,Amazing game mechanics and storytelling. Worth every penny.,5,12/16/2024
47,Minecraft,positive,Amazing game mechanics and storytelling. Worth every penny.,4,4/5/2025
48,Minecraft,positive,A must-play for fans of the genre.,5,12/6/2024
49,Slay the Spire,positive,Fantastic visuals and smooth controls. Truly immersive.,5,6/11/2025
50,DOOM Eternal,positive,One of the best experiences I've had in gaming. Highly recommend!,5,3/13/2025
51,Dead by Daylight,positive,Absolutely loved this game! The gameplay and graphics are top-notch.,5,6/3/2025
52,Hades,positive,Superb soundtrack and atmosphere.,5,7/23/2025
53,Among Us,positive,The game exceeded my expectations in every way.,5,10/1/2025
54,Cyberpunk 2077,positive,Highly enjoyable with great replay value.,5,12/28/2024
55,Ori and the Will of the Wisps,positive,Brilliant design and very engaging gameplay.,5,7/18/2025
56,Terraria,positive,A must-play for fans of the genre.,4,6/10/2025
57,Slay the Spire,positive,Superb soundtrack and atmosphere.,5,2/19/2025
58,Hades,positive,One of the best experiences I've had in gaming. Highly recommend!,4,6/24/2025
59,GTA V,positive,The game exceeded my expectations in every way.,5,11/8/2025
60,Subnautica,positive,Highly enjoyable with great replay value.,5,12/20/2024
61,Fall Guys,positive,Amazing game mechanics and storytelling. Worth every penny.,5,11/14/2025
62,Elden Ring,positive,Absolutely loved this game! The gameplay and graphics are top-notch.,5,8/1/2025
63,Resident Evil Village,positive,A must-play for fans of the genre.,4,7/30/2025
64,Slay the Spire,positive,Fantastic visuals and smooth controls. Truly immersive.,5,12/29/2024
65,Slay the Spire,positive,Superb soundtrack and atmosphere.,5,7/2/2025
66,Factorio,positive,Incredibly fun and addictive. Can't put it down!,5,12/12/2024
67,Subnautica,positive,One of the best experiences I've had in gaming. Highly recommend!,5,7/11/2025
68,DOOM Eternal,positive,Highly enjoyable with great replay value.,5,12/7/2024
69,Dead by Daylight,positive,Amazing game mechanics and storytelling. Worth every penny.,5,5/8/2025
70,Among Us,positive,One of the best experiences I've had in gaming. Highly recommend!,4,6/10/2025
71,Fall Guys,positive,Fantastic visuals and smooth controls. Truly immersive.,5,12/14/2024
72,Dark Souls III,positive,A must-play for fans of the genre.,5,7/22/2025
73,Stardew Valley,positive,Highly enjoyable with great replay value.,4,6/1/2025
74,Dark Souls III,positive,The game exceeded my expectations in every way.,5,8/23/2025
75,Hades,positive,Highly enjoyable with great replay value.,5,6/21/2025
76,Ori and the Will of the Wisps,positive,Brilliant design and very engaging gameplay.,5,1/31/2025
77,Fall Guys,positive,Highly enjoyable with great replay value.,5,12/13/2024
78,Elden Ring,positive,Fantastic visuals and smooth controls. Truly immersive.,5,6/1/2025
79,Among Us,positive,Fantastic visuals and smooth controls. Truly immersive.,4,10/1/2025
80,Factorio,positive,A must-play for fans of the genre.,4,9/14/2025
81,Rust,positive,Brilliant design and very engaging gameplay.,5,9/6/2025
82,Terraria,positive,The game exceeded my expectations in every way.,5,2/24/2025
