product_name,opinion_id,sentiment,opinion,score,date
Samsung Earbuds,1,positive,Great sound quality and very comfortable!,4,2025-10-08
Samsung Earbuds,2,positive,Noise cancellation works really well.,4,2025-04-26
Samsung Earbuds,3,positive,Super lightweight and fits perfectly.,4,2025-10-25
Samsung Earbuds,4,positive,Connectivity is fast and stable.,4,2025-04-24
Samsung Earbuds,5,positive,Bass is deep and rich!,5,2024-12-23
Samsung Earbuds,6,positive,Super lightweight and fits perfectly.,5,2025-04-29
Samsung Earbuds,7,positive,Perfect for workouts.,4,2025-03-29
Samsung Earbuds,8,positive,Connectivity is fast and stable.,5,2025-03-29
Samsung Earbuds,9,positive,Great sound quality and very comfortable!,4,2025-04-19
Samsung Earbuds,10,positive,Charging case is compact and handy.,5,2025-06-26
Samsung Earbuds,11,positive,Charging case is compact and handy.,4,2025-11-21
Samsung Earbuds,12,positive,Touch controls are very responsive.,4,2025-04-19
Samsung Earbuds,13,positive,Perfect for workouts.,4,2025-07-27
Samsung Earbuds,14,positive,"Battery life is amazing, King!",5,2025-01-19
Samsung Earbuds,15,positive,Love the sleek design 😄,4,2025-04-23
Samsung Earbuds,16,positive,Super lightweight and fits perfectly.,5,2025-11-24
Samsung Earbuds,17,positive,Super lightweight and fits perfectly.,5,2025-07-16
Samsung Earbuds,18,positive,Perfect for workouts.,4,2025-04-20
Samsung Earbuds,19,positive,Bass is deep and rich!,5,2025-09-04
Samsung Earbuds,20,positive,Bass is deep and rich!,4,2025-11-11
Samsung Earbuds,21,positive,Love the sleek design 😄,4,2025-07-27
Samsung Earbuds,22,positive,"Battery life is amazing, King!",5,2025-04-09
Samsung Earbuds,23,positive,"Battery life is amazing, King!",5,2025-10-08
Samsung Earbuds,24,positive,Noise cancellation works really well.,5,2025-07-18
Samsung Earbuds,25,positive,Touch controls are very responsive.,5,2025-02-07
Samsung Earbuds,26,positive,Charging case is compact and handy.,4,2025-05-06
Samsung Earbuds,27,positive,"Battery life is amazing, King!",4,2025-03-14
Samsung Earbuds,28,positive,Connectivity is fast and stable.,4,2025-11-24
Samsung Earbuds,29,positive,Love the sleek design 😄,4,2025-07-08
Samsung Earbuds,30,positive,Super lightweight and fits perfectly.,4,2025-01-10
Samsung Earbuds,31,positive,Noise cancellation works really well.,5,2025-08-01
Samsung Earbuds,32,positive,Touch controls are very responsive.,5,2025-07-03
Samsung Earbuds,33,positive,Touch controls are very responsive.,5,2025-07-02
Samsung Earbuds,34,positive,Noise cancellation works really well.,5,2025-06-03
Samsung Earbuds,35,positive,Noise cancellation works really well.,4,2025-07-16
Samsung Earbuds,36,positive,Super lightweight and fits perfectly.,4,2025-08-20
Samsung Earbuds,37,positive,Connectivity is fast and stable.,5,2025-06-04
Samsung Earbuds,38,positive,Love the sleek design 😄,4,2025-09-16
Samsung Earbuds,39,positive,Bass is deep and rich!,5,2025-07-22
Samsung Earbuds,40,positive,Love the sleek design 😄,4,2025-07-27
Samsung Earbuds,41,positive,Love the sleek design 😄,4,2025-03-23
Samsung Earbuds,42,positive,Touch controls are very responsive.,5,2025-08-20
Samsung Earbuds,43,positive,Love the sleek design 😄,4,2025-06-23
Samsung Earbuds,44,positive,Connectivity is fast and stable.,5,2025-09-23
Samsung Earbuds,45,positive,Charging case is compact and handy.,5,2025-04-13
Samsung Earbuds,46,positive,Touch controls are very responsive.,5,2025-10-11
Samsung Earbuds,47,positive,Super lightweight and fits perfectly.,5,2025-07-17
Samsung Earbuds,48,positive,Noise cancellation works really well.,4,2024-12-30
Samsung Earbuds,49,positive,Noise cancellation works really well.,5,2025-05-17
Samsung Earbuds,50,positive,Charging case is compact and handy.,4,2024-11-29
Samsung Earbuds,51,positive,Touch controls are very responsive.,5,2025-10-16
Samsung Earbuds,52,positive,Noise cancellation works really well.,5,2025-05-18
Samsung Earbuds,53,positive,Love the sleek design 😄,4,2025-01-12
Samsung Earbuds,54,positive,Charging case is compact and handy.,5,2025-06-03
Samsung Earbuds,55,positive,"Battery life is amazing, King!",4,2025-08-06
Samsung Earbuds,56,positive,Love the sleek design 😄,5,2025-08-24
Samsung Earbuds,57,positive,Love the sleek design 😄,5,2025-11-23
Samsung Earbuds,58,positive,Charging case is compact and handy.,4,2025-01-19
Samsung Earbuds,59,positive,Touch controls are very responsive.,4,2025-01-09
Samsung Earbuds,60,positive,Bass is deep and rich!,5,2025-09-08
Samsung Earbuds,61,positive,Great sound quality and very comfortable!,4,2025-08-04
Samsung Earbuds,62,positive,Perfect for workouts.,5,2025-10-09
Samsung Earbuds,63,positive,"Battery life is amazing, King!",4,2025-01-26
Samsung Earbuds,64,positive,Super lightweight and fits perfectly.,5,2024-12-11
Samsung Earbuds,65,positive,Perfect for workouts.,4,2025-11-12
Samsung Earbuds,66,positive,Perfect for workouts.,5,2025-10-17
Samsung Earbuds,67,positive,Great sound quality and very comfortable!,4,2025-04-10
Samsung Earbuds,68,positive,Love the sleek design 😄,4,2025-01-16
Samsung Earbuds,69,positive,"Battery life is amazing, King!",5,2025-07-06
Samsung Earbuds,70,positive,Perfect for workouts.,4,2025-09-17
Samsung Earbuds,71,positive,Great sound quality and very comfortable!,4,2025-09-16
Samsung Earbuds,72,positive,Charging case is compact and handy.,4,2025-08-04
Samsung Earbuds,73,positive,"Battery life is amazing, King!",5,2025-04-27
Samsung Earbuds,74,positive,Bass is deep and rich!,5,2025-01-01
Samsung Earbuds,75,positive,Noise cancellation works really well.,5,2024-11-26
