Product Name,Opinion ID,Sentiment,Opinion,Score
Mazda MX-5,1,positive,"It delivers a pure, lightweight driving experience.",5
Mazda MX-5,2,positive,"The handling is exceptionally responsive.",5
Mazda MX-5,3,positive,"It offers one of the best manual gearboxes in the industry.",5
Mazda MX-5,4,positive,"The convertible top is easy to operate manually.",5
Mazda MX-5,5,positive,"Its engaging driving feel makes every trip fun.",5
Mazda MX-5,6,positive,"The car maintains outstanding reliability over time.",4
Mazda MX-5,7,positive,"It is highly fuel-efficient for a sports car.",4
Mazda MX-5,8,positive,"The steering provides excellent road feedback.",5
Mazda MX-5,9,positive,"The car has a timeless, iconic roadster design.",5
Mazda MX-5,10,positive,"Maintenance costs are relatively low.",4
Mazda MX-5,11,positive,"Running costs are low compared to other sports cars.",4
Mazda MX-5,12,positive,"The compact size makes it easy to park in cities.",4
Mazda MX-5,13,positive,"The aftermarket modification community is huge.",5
Mazda MX-5,14,positive,"It has a dedicated fanbase worldwide.",5
Mazda MX-5,15,positive,"The driving position feels natural and sporty.",5
Mazda MX-5,16,positive,"Its weight distribution is nearly perfect.",5
Mazda MX-5,17,positive,"The roadster layout emphasizes fun over brute power.",5
Mazda MX-5,18,positive,"It’s affordable compared to competing sports cars.",4
Mazda MX-5,19,positive,"Soft-top and RF versions provide buyer flexibility.",4
Mazda MX-5,20,positive,"Owners report high satisfaction and emotional attachment.",5
Mazda MX-5,21,positive,"It retains resale value remarkably well.",4
Mazda MX-5,22,positive,"The engine has a great, sporty character.",4
Mazda MX-5,23,positive,"Mazda’s engineering philosophy shines in the chassis design.",5
Mazda MX-5,24,positive,"The car encourages enthusiast driving habits.",5
Mazda MX-5,25,positive,"It is a great entry-level sports car for new drivers.",4
Mazda MX-5,26,positive,"Offers a very connected feel between driver and mechanics.",5
Mazda MX-5,27,positive,"The suspension strikes a good balance between comfort and sportiness.",4
Mazda MX-5,28,positive,"Owners often describe it as ‘smiles per mile’.",5
Mazda MX-5,29,positive,"The minimalist interior enhances the driving focus.",4
Mazda MX-5,30,positive,"It has great engine longevity with proper care.",4
Mazda MX-5,31,positive,"Upkeep is cheap thanks to inexpensive parts.",4
Mazda MX-5,32,positive,"It’s ideal for weekend cruising and spirited driving.",5
Mazda MX-5,33,positive,"It feels fast even at legal speeds.",5
Mazda MX-5,34,positive,"The seating position keeps you low to the ground.",4
Mazda MX-5,35,positive,"A joy to drive on winding roads.",5
Mazda MX-5,36,positive,"It has excellent aftermarket tuning options.",5
Mazda MX-5,37,positive,"The community culture is friendly and passionate.",5
Mazda MX-5,38,positive,"It performs well on track days for its price.",4
Mazda MX-5,39,positive,"The chassis is playful and forgiving.",5
Mazda MX-5,40,positive,"Insurance costs can be surprisingly reasonable.",4
Mazda MX-5,41,positive,"It looks good from almost every angle.",5
Mazda MX-5,42,positive,"The ride quality is better than expected for its class.",4
Mazda MX-5,43,positive,"It’s easy to personalize and customize.",4
Mazda MX-5,44,positive,"The car feels like a mechanical extension of the driver.",5
Mazda MX-5,45,positive,"Mazda’s build quality is consistently solid.",4
Mazda MX-5,46,positive,"Drivers can learn performance driving safely in it.",5
Mazda MX-5,47,positive,"It’s extremely fun even at low horsepower.",5
Mazda MX-5,48,positive,"The soft top roof is durable and weather-resistant.",4
Mazda MX-5,49,positive,"The RF hard-top model offers extra practicality.",4
Mazda MX-5,50,positive,"It encourages spirited, joyful driving habits.",5
Mazda MX-5,51,positive,"Great for touring scenic drives with the roof down.",5
Mazda MX-5,52,positive,"It strikes a perfect balance between price and performance.",4
Mazda MX-5,53,positive,"Maintenance is straightforward for DIY owners.",4
Mazda MX-5,54,positive,"The engine revs smoothly and eagerly.",4
Mazda MX-5,55,positive,"The gearbox is accurate, short, and rewarding.",5
Mazda MX-5,56,positive,"It’s highly photogenic and recognizable.",4
Mazda MX-5,57,positive,"A well-cultivated sense of automotive purity.",5
Mazda MX-5,58,positive,"It provides a strong emotional connection to driving.",5
Mazda MX-5,59,positive,"The car feels much more expensive than it is.",4
Mazda MX-5,60,positive,"It’s considered one of the best driver’s cars of all time.",5
Mazda MX-5,61,positive,"It inspires automotive enthusiasm in young drivers.",5
Mazda MX-5,62,positive,"A true embodiment of Mazda’s ‘Jinba Ittai’ philosophy.",5
Mazda MX-5,63,positive,"Responsive throttle and lively engine.",4
Mazda MX-5,64,positive,"Great choice for a fun commuter car.",4
Mazda MX-5,65,positive,"It’s compact, agile, and intuitive.",5
Mazda MX-5,66,positive,"The OEM seats provide good lateral support.",4
Mazda MX-5,67,positive,"Low total cost of ownership.",4
Mazda MX-5,68,positive,"Easy to work on mechanically.",4
Mazda MX-5,69,positive,"Plenty of enthusiast clubs and events worldwide.",5
Mazda MX-5,70,positive,"It’s a car that encourages spontaneous road trips.",5
Mazda MX-5,71,positive,"You can feel the tires gripping the road.",4
Mazda MX-5,72,positive,"It brings joy to almost anyone who drives it.",5
Mazda MX-5,73,positive,"Owners often keep them for years or decades.",4
Mazda MX-5,74,positive,"The ergonomics are well thought-out.",4
Mazda MX-5,75,positive,"The steering wheel size and feel are perfect.",5
Mazda MX-5,76,positive,"It feels alive on twisty roads.",5
Mazda MX-5,77,positive,"Simple, honest sports car design.",5
Mazda MX-5,78,positive,"Mazda delivers consistent improvements across generations.",4
Mazda MX-5,79,positive,"It has a very involving driving experience.",5
Mazda MX-5,80,positive,"Great car for convertible-style freedom.",5
Mazda MX-5,81,positive,"It makes driving an event, not just transportation.",5
Mazda MX-5,82,positive,"Excellent power-to-weight ratio.",5
Mazda MX-5,83,positive,"It’s a modern classic in sports car history.",5
Mazda MX-5,84,positive,"Great option for autocross and amateur racing.",4
Mazda MX-5,85,positive,"It has a distinctive, enthusiastic exhaust tone.",4
Mazda MX-5,86,positive,"Low center of gravity improves stability.",5
Mazda MX-5,87,positive,"It encourages manual driving skills.",5
Mazda MX-5,88,positive,"Great sunny-day weekend car.",5
Mazda MX-5,89,positive,"It sets the standard for affordable fun cars.",5
Mazda MX-5,90,positive,"It’s friendly and non-intimidating to drive.",5
Mazda MX-5,91,positive,"Highly suitable for beginners and experienced drivers alike.",5
Mazda MX-5,92,positive,"It’s easy to restore older models.",4
Mazda MX-5,93,positive,"The interior is durable for long-term ownership.",4
Mazda MX-5,94,positive,"It rewards smooth and precise driving technique.",5
Mazda MX-5,95,positive,"A dependable daily driver for many owners.",4
Mazda MX-5,96,positive,"The manual gearbox enhances driver involvement.",5
Mazda MX-5,97,positive,"It’s widely recognized as the best selling roadster ever.",5
Mazda MX-5,98,positive,"Driving it creates a strong emotional memory.",5
Mazda MX-5,99,positive,"The car fosters a strong connection between driver and machine.",5
Mazda MX-5,100,positive,"It remains true to its original roadster philosophy across generations.",5
Mazda MX-5,101,negative,"The storage space is extremely limited.",2
Mazda MX-5,102,negative,"The cabin feels cramped for taller drivers.",2
Mazda MX-5,103,negative,"It lacks horsepower compared to rival sports cars.",2
