product_name,opinion_id,sentiment,opinion,score
Hearts of Iron IV,6,positive,Absolute masterpiece of map painting. Great soundtrack and atmosphere. Would capitulate France again.,5
Hearts of Iron IV,29,positive,"Absolute masterpiece of map painting. Great soundtrack and atmosphere. Don't look at the DLC price, just get the subscription.",4
Hearts of Iron IV,83,positive,War crimes simulator 10/10. The supply system is actually good now. Artillery only is the way.,4
Hearts of Iron IV,92,positive,"Finally understand geography better than my teacher. Multiplayer is chaotic in the best way possible. Don't look at the DLC price, just get the subscription.",5
Hearts of Iron IV,130,negative,Why is the AI abandoning the Maginot Line?,2
Hearts of Iron IV,100,positive,Hitler capitulated to Poland in 1939. Historical AI is a lie.,5
Hearts of Iron IV,14,positive,"Paid $40 to stare at a map for 5 hours. Would do again. Multiplayer is chaotic in the best way possible. Requires a PhD to play, but worth it.",4
Hearts of Iron IV,49,positive,1000 hours in and I'm just getting started. Multiplayer is chaotic in the best way possible. Just buy it.,5
Hearts of Iron IV,99,positive,1000 hours in and I'm just getting started. Nothing beats the feeling of a perfect encirclement. Highly recommended.,4
Hearts of Iron IV,122,negative,Spreadsheet simulator 2016. The game runs in slow motion past 1943. Refunded.,1
Hearts of Iron IV,12,positive,"Worth every penny if you like history. Kaiserreich is basically a whole new game. Don't look at the DLC price, just get the subscription.",4
Hearts of Iron IV,153,negative,Too complex for its own good. Late game lag is unbearable on high-end PCs. Boring and tedious.,1
Hearts of Iron IV,16,positive,War crimes simulator 10/10. Nothing beats the feeling of a perfect encirclement. Addicting loop.,4
Hearts of Iron IV,175,negative,Too complex for its own good. The tutorial teaches you literally nothing. Boring and tedious.,2
Hearts of Iron IV,18,positive,I have lost my social life to this game. Great soundtrack and atmosphere. Addicting loop.,5
Hearts of Iron IV,164,negative,The AI is absolutely braindead. The peace conferences are completely broken. Go play HOI3 or Darkest Hour instead.,2
Hearts of Iron IV,48,positive,Paid $40 to stare at a map for 5 hours. Would do again. Kaiserreich is basically a whole new game. Better than Civ.,4
Hearts of Iron IV,7,positive,"Absolute masterpiece of map painting. Learning curve is steep, but the payoff is huge. Just buy it.",5
Hearts of Iron IV,76,positive,1000 hours in and I'm just getting started. Building a massive tank division is pure dopamine. Artillery only is the way.,5
Hearts of Iron IV,197,negative,Optimization is non-existent. You have to pay $20 just to get focus trees for minor nations. Fix your game Paradox.,1
Hearts of Iron IV,102,negative,"I want to like this game, but I can't. Navy makes zero sense no matter how many tutorials you watch. I can't support this business model.",2
Hearts of Iron IV,178,negative,Optimization is non-existent. Late game lag is unbearable on high-end PCs. Disappointed.,1
Hearts of Iron IV,59,positive,I have lost my social life to this game. Great soundtrack and atmosphere. Would capitulate France again.,4
Hearts of Iron IV,106,negative,The AI is absolutely braindead. The peace conferences are completely broken. Not recommended for sane people.,2
Hearts of Iron IV,146,negative,Optimization is non-existent. Late game lag is unbearable on high-end PCs. Not recommended for sane people.,2
Hearts of Iron IV,41,positive,I have lost my social life to this game. Playing as minor nations is a great challenge. Artillery only is the way.,5
Hearts of Iron IV,3,positive,"Best grand strategy game ever made. Great soundtrack and atmosphere. Don't look at the DLC price, just get the subscription.",4
Hearts of Iron IV,98,positive,Paid $40 to stare at a map for 5 hours. Would do again. Kaiserreich is basically a whole new game. Better than Civ.,5
Hearts of Iron IV,74,positive,I have lost my social life to this game. I still don't understand the navy but the green bubbles make me happy. Addicting loop.,4
Hearts of Iron IV,196,negative,The AI is absolutely braindead. The game runs in slow motion past 1943. I can't support this business model.,2
Hearts of Iron IV,103,negative,Too complex for its own good. They hide essential mechanics behind paywalls. It's just a map coloring book that costs too much.,2
Hearts of Iron IV,149,negative,Spreadsheet simulator 2016. Navy makes zero sense no matter how many tutorials you watch. Fix your game Paradox.,2
Hearts of Iron IV,104,negative,Too complex for its own good. They hide essential mechanics behind paywalls. Waste of time and money.,1
Hearts of Iron IV,10,positive,"Game crashed, opened it again immediately.",4
Hearts of Iron IV,156,negative,Laggy mess. Late game lag is unbearable on high-end PCs. Go play HOI3 or Darkest Hour instead.,2
Hearts of Iron IV,62,positive,The modding community saves this game. Playing as minor nations is a great challenge. Artillery only is the way.,4
Hearts of Iron IV,17,positive,Absolute masterpiece of map painting. The alternate history paths are hilarious and fun. Better than Civ.,4
Hearts of Iron IV,36,positive,Finally understand geography better than my teacher. Great soundtrack and atmosphere. Just buy it.,4
Hearts of Iron IV,25,positive,Best grand strategy game ever made. The alternate history paths are hilarious and fun. Just buy it.,4
Hearts of Iron IV,43,positive,"Paid $40 to stare at a map for 5 hours. Would do again. Learning curve is steep, but the payoff is huge. Requires a PhD to play, but worth it.",4
Hearts of Iron IV,39,positive,I have lost my social life to this game. Playing as minor nations is a great challenge. Highly recommended.,4
Hearts of Iron IV,111,negative,The AI is absolutely braindead. The peace conferences are completely broken. I can't support this business model.,2
Hearts of Iron IV,158,negative,"I want to like this game, but I can't. Battle plans never work, units just shuffle around aimlessly. Fix your game Paradox.",1
Hearts of Iron IV,70,positive,My wife left me but I have 2000 soft attack heavy tanks.,4
Hearts of Iron IV,137,negative,Good game ruined by greed. The tutorial teaches you literally nothing. Wait for a 90% sale.,1
Hearts of Iron IV,141,negative,Optimization is non-existent. The peace conferences are completely broken. Waste of time and money.,2
Hearts of Iron IV,132,negative,Do not buy this unless you have $300 for DLCs. The tutorial teaches you literally nothing. Fix your game Paradox.,1
Hearts of Iron IV,161,negative,Do not buy this unless you have $300 for DLCs. The peace conferences are completely broken. Boring and tedious.,2
Hearts of Iron IV,15,positive,"Finally understand geography better than my teacher. Playing as minor nations is a great challenge. Don't look at the DLC price, just get the subscription.",4
Hearts of Iron IV,105,negative,"I want to like this game, but I can't. The tutorial teaches you literally nothing. Waste of time and money.",1
Hearts of Iron IV,42,positive,Complex but incredibly rewarding. I still don't understand the navy but the green bubbles make me happy. Would capitulate France again.,5
Hearts of Iron IV,163,negative,Paradox DLC policy is a joke. Navy makes zero sense no matter how many tutorials you watch. Not recommended for sane people.,2
Hearts of Iron IV,95,positive,Complex but incredibly rewarding. Building a massive tank division is pure dopamine. Highly recommended.,4
Hearts of Iron IV,97,positive,I have lost my social life to this game. Building a massive tank division is pure dopamine. Highly recommended.,5
Hearts of Iron IV,23,positive,Paid $40 to stare at a map for 5 hours. Would do again. Building a massive tank division is pure dopamine. Better than Civ.,5
Hearts of Iron IV,110,negative,"Bought the game for $40, need $200 more to actually play it.",2
Hearts of Iron IV,87,positive,Absolute masterpiece of map painting. Kaiserreich is basically a whole new game. Would capitulate France again.,4
Hearts of Iron IV,51,positive,Finally understand geography better than my teacher. Multiplayer is chaotic in the best way possible. Artillery only is the way.,5
Hearts of Iron IV,80,positive,"Game crashed, opened it again immediately.",5
Hearts of Iron IV,200,negative,I prefer having a life.,2
Hearts of Iron IV,52,positive,Complex but incredibly rewarding. Multiplayer is chaotic in the best way possible. Say goodbye to your sleep.,4
Hearts of Iron IV,123,negative,Paradox DLC policy is a joke. Navy makes zero sense no matter how many tutorials you watch. Wait for a 90% sale.,2
Hearts of Iron IV,147,negative,Spreadsheet simulator 2016. Late game lag is unbearable on high-end PCs. Boring and tedious.,2
Hearts of Iron IV,28,positive,Paid $40 to stare at a map for 5 hours. Would do again. Building a massive tank division is pure dopamine. Just buy it.,5
Hearts of Iron IV,5,positive,Absolute masterpiece of map painting. The supply system is actually good now. Artillery only is the way.,5
Hearts of Iron IV,108,negative,Laggy mess. Late game lag is unbearable on high-end PCs. Waste of time and money.,2
Hearts of Iron IV,116,negative,Spreadsheet simulator 2016. The game runs in slow motion past 1943. Refunded.,2
Hearts of Iron IV,167,negative,The AI is absolutely braindead. Frontlines break constantly for no reason. Disappointed.,1
Hearts of Iron IV,84,positive,Best grand strategy game ever made. Great soundtrack and atmosphere. Artillery only is the way.,4
Hearts of Iron IV,22,positive,1000 hours in and I'm just getting started. Nothing beats the feeling of a perfect encirclement. Just buy it.,4
Hearts of Iron IV,40,positive,Green bubble good. Red bubble bad.,4
Hearts of Iron IV,88,positive,War crimes simulator 10/10. The supply system is actually good now. Highly recommended.,4
Hearts of Iron IV,134,negative,Unplayable without mods. The game runs in slow motion past 1943. Boring and tedious.,2
Hearts of Iron IV,30,positive,My wife left me but I have 2000 soft attack heavy tanks.,4
Hearts of Iron IV,55,positive,"Complex but incredibly rewarding. Learning curve is steep, but the payoff is huge. Don't look at the DLC price, just get the subscription.",5
Hearts of Iron IV,157,negative,"I want to like this game, but I can't. Battle plans never work, units just shuffle around aimlessly. Disappointed.",1
Hearts of Iron IV,117,negative,Paradox DLC policy is a joke. The game runs in slow motion past 1943. Wait for a 90% sale.,2
Hearts of Iron IV,179,negative,Unplayable without mods. The peace conferences are completely broken. Wait for a 90% sale.,1
Hearts of Iron IV,37,positive,Complex but incredibly rewarding. The supply system is actually good now. Would capitulate France again.,5
Hearts of Iron IV,120,negative,Why is the AI abandoning the Maginot Line?,1
Hearts of Iron IV,90,positive,I formed the Roman Empire as Luxembourg. 10/10,5
Hearts of Iron IV,192,negative,"Good game ruined by greed. Battle plans never work, units just shuffle around aimlessly. Wait for a 90% sale.",2
Hearts of Iron IV,112,negative,"Optimization is non-existent. Battle plans never work, units just shuffle around aimlessly. Boring and tedious.",1
Hearts of Iron IV,44,positive,The modding community saves this game. The alternate history paths are hilarious and fun. Just buy it.,5
Hearts of Iron IV,139,negative,Too complex for its own good. You have to pay $20 just to get focus trees for minor nations. Refunded.,2
Hearts of Iron IV,162,negative,Optimization is non-existent. Late game lag is unbearable on high-end PCs. Fix your game Paradox.,1
Hearts of Iron IV,75,positive,"Absolute masterpiece of map painting. Kaiserreich is basically a whole new game. Don't look at the DLC price, just get the subscription.",5
Hearts of Iron IV,172,negative,"Too complex for its own good. Battle plans never work, units just shuffle around aimlessly. Boring and tedious.",2
Hearts of Iron IV,113,negative,The AI is absolutely braindead. The game runs in slow motion past 1943. Fix your game Paradox.,1
Hearts of Iron IV,129,negative,Laggy mess. Late game lag is unbearable on high-end PCs. I can't support this business model.,1
Hearts of Iron IV,82,positive,1000 hours in and I'm just getting started. I still don't understand the navy but the green bubbles make me happy. Paradox has done it again.,4
Hearts of Iron IV,183,negative,Spreadsheet simulator 2016. Frontlines break constantly for no reason. Boring and tedious.,1
Hearts of Iron IV,67,positive,Absolute masterpiece of map painting. Great soundtrack and atmosphere. Highly recommended.,5
Hearts of Iron IV,155,negative,Do not buy this unless you have $300 for DLCs. You have to pay $20 just to get focus trees for minor nations. Fix your game Paradox.,1
Hearts of Iron IV,73,positive,I have lost my social life to this game. The supply system is actually good now. Would capitulate France again.,4
Hearts of Iron IV,136,negative,Do not buy this unless you have $300 for DLCs. Multiplayer is toxic and unstable. Fix your game Paradox.,1
Hearts of Iron IV,57,positive,"1000 hours in and I'm just getting started. The alternate history paths are hilarious and fun. Requires a PhD to play, but worth it.",4
Hearts of Iron IV,121,negative,Laggy mess. The game runs in slow motion past 1943. Go play HOI3 or Darkest Hour instead.,2
Hearts of Iron IV,148,negative,Spreadsheet simulator 2016. Frontlines break constantly for no reason. I can't support this business model.,1
Hearts of Iron IV,94,positive,War crimes simulator 10/10. I still don't understand the navy but the green bubbles make me happy. Just buy it.,5
Hearts of Iron IV,126,negative,Paradox DLC policy is a joke. The peace conferences are completely broken. Boring and tedious.,1
Hearts of Iron IV,154,negative,The AI is absolutely braindead. Late game lag is unbearable on high-end PCs. Go play HOI3 or Darkest Hour instead.,2
Hearts of Iron IV,56,positive,Best grand strategy game ever made. The supply system is actually good now. Addicting loop.,4
Hearts of Iron IV,66,positive,"1000 hours in and I'm just getting started. The alternate history paths are hilarious and fun. Requires a PhD to play, but worth it.",4
Hearts of Iron IV,33,positive,Finally understand geography better than my teacher. Great soundtrack and atmosphere. Just buy it.,5
Hearts of Iron IV,31,positive,Best grand strategy game ever made. Kaiserreich is basically a whole new game. Just buy it.,5
Hearts of Iron IV,109,negative,Do not buy this unless you have $300 for DLCs. Multiplayer is toxic and unstable. Wait for a 90% sale.,1
Hearts of Iron IV,53,positive,Finally understand geography better than my teacher. Building a massive tank division is pure dopamine. Artillery only is the way.,5
Hearts of Iron IV,65,positive,1000 hours in and I'm just getting started. I still don't understand the navy but the green bubbles make me happy. Would capitulate France again.,5
