opinion_id,product_name,sentiment,opinion,score,date,neg,neu,pos,compound,vader_sentiment
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
no data,no data,no data,no data,no data,no data,0.688,0.312,0.0,-0.296,negative
