product_name,opinion_id,sentiment,opinion,score,date
Video Game,1,positive,Really enjoyed playing this.,5,2023-01-01
Video Game,2,positive,Impressive visuals and smooth performance.,5,2023-01-02
Video Game,3,positive,Exceeded my expectations.,5,2023-01-03
Video Game,4,positive,Fun and engaging gameplay.,5,2023-01-04
Video Game,5,positive,Really enjoyed playing this.,4,2023-01-05
Video Game,6,positive,Great experience overall.,5,2023-01-06
Video Game,7,positive,Great experience overall.,4,2023-01-07
Video Game,8,positive,Really enjoyed playing this.,3,2023-01-08
Video Game,9,positive,Exceeded my expectations.,5,2023-01-09
Video Game,10,positive,Exceeded my expectations.,5,2023-01-10
Video Game,11,positive,Exceeded my expectations.,3,2023-01-11
Video Game,12,positive,Fun and engaging gameplay.,3,2023-01-12
Video Game,13,positive,Impressive visuals and smooth performance.,4,2023-01-13
Video Game,14,positive,Impressive visuals and smooth performance.,3,2023-01-14
Video Game,15,positive,Exceeded my expectations.,4,2023-01-15
Video Game,16,positive,Impressive visuals and smooth performance.,5,2023-01-16
Video Game,17,positive,Impressive visuals and smooth performance.,3,2023-01-17
Video Game,18,positive,Really enjoyed playing this.,3,2023-01-18
Video Game,19,positive,Fun and engaging gameplay.,4,2023-01-19
Video Game,20,positive,Exceeded my expectations.,4,2023-01-20
Video Game,21,positive,Exceeded my expectations.,4,2023-01-21
Video Game,22,positive,Really enjoyed playing this.,4,2023-01-22
Video Game,23,positive,Really enjoyed playing this.,5,2023-01-23
Video Game,24,positive,Exceeded my expectations.,4,2023-01-24
Video Game,25,positive,Fun and engaging gameplay.,3,2023-01-25
Video Game,26,positive,Exceeded my expectations.,5,2023-01-26
Video Game,27,positive,Exceeded my expectations.,3,2023-01-27
Video Game,28,positive,Fun and engaging gameplay.,3,2023-01-28
Video Game,29,positive,Really enjoyed playing this.,3,2023-01-29
Video Game,30,positive,Fun and engaging gameplay.,5,2023-01-30
Video Game,31,positive,Impressive visuals and smooth performance.,4,2023-01-31
Video Game,32,positive,Fun and engaging gameplay.,3,2023-02-01
Video Game,33,positive,Fun and engaging gameplay.,5,2023-02-02
Video Game,34,positive,Really enjoyed playing this.,5,2023-02-03
Video Game,35,positive,Great experience overall.,5,2023-02-04
